SDA,type,post,meas,treat,sfy,rgrp4,rgrp3,rgrp9,rgrp6,tot_tvst
,mce,0,cnt,1,2013,0,0,,,0
,mce,0,cnt,1,2014,0,,,,0
,mce,0,cnt,1,2015,,0,,,0
,mce,0,cnt,1,2016,0,0,,,0
,mce,0,cnt,1,2017,0,0,,,0
,mce,0,cnt,1,2018,,0,,,0
,mce,0,cnt,0,2013,0,0,0,,0
,mce,0,cnt,0,2014,0,0,0,0,0
,mce,0,cnt,0,2015,0,0,0,,0
,mce,0,cnt,0,2016,0,0,0,0,0
,mce,0,cnt,0,2017,0.0057471264,0,0,0,0.0057471264
,mce,0,cnt,0,2018,0,0,0,,0
,mce,0,cost,1,2013,0,0,,,0
,mce,0,cost,1,2014,0,,,,0
,mce,0,cost,1,2015,,0,,,0
,mce,0,cost,1,2016,0,0,,,0
,mce,0,cost,1,2017,0,0,,,0
,mce,0,cost,1,2018,,0,,,0
,mce,0,cost,0,2013,0,0,0,,0
,mce,0,cost,0,2014,0,0,0,0,0
,mce,0,cost,0,2015,0,0,0,,0
,mce,0,cost,0,2016,0,0,0,0,0
,mce,0,cost,0,2017,1.1008045977,0,0,0,1.1008045977
,mce,0,cost,0,2018,0,0,0,,0
,mce,1,cnt,1,2013,0,0,,,0
,mce,1,cnt,1,2014,0,,,,0
,mce,1,cnt,1,2015,,0,,,0
,mce,1,cnt,1,2016,0,0,,,0
,mce,1,cnt,1,2017,0,0,,,0
,mce,1,cnt,1,2018,,0,,,0
,mce,1,cnt,0,2013,0,0,0,,0
,mce,1,cnt,0,2014,0,0,0,0,0
,mce,1,cnt,0,2015,0,0,0,,0
,mce,1,cnt,0,2016,0,0,0,0,0
,mce,1,cnt,0,2017,0,0,0,0,0
,mce,1,cnt,0,2018,0,0,0,,0
,mce,1,cost,1,2013,0,0,,,0
,mce,1,cost,1,2014,0,,,,0
,mce,1,cost,1,2015,,0,,,0
,mce,1,cost,1,2016,0,0,,,0
,mce,1,cost,1,2017,0,0,,,0
,mce,1,cost,1,2018,,0,,,0
,mce,1,cost,0,2013,0,0,0,,0
,mce,1,cost,0,2014,0,0,0,0,0
,mce,1,cost,0,2015,0,0,0,,0
,mce,1,cost,0,2016,0,0,0,0,0
,mce,1,cost,0,2017,0,0,0,0,0
,mce,1,cost,0,2018,0,0,0,,0
,mcm,0,cnt,1,2013,0,0,,,0
,mcm,0,cnt,1,2014,0,,,,0
,mcm,0,cnt,1,2015,,0,,,0
,mcm,0,cnt,1,2016,0,0,,,0
,mcm,0,cnt,1,2017,0,0,,,0
,mcm,0,cnt,1,2018,,0,,,0
,mcm,0,cnt,0,2013,0,0,0,,0
,mcm,0,cnt,0,2014,0,0,0,0,0
,mcm,0,cnt,0,2015,0,0,0,,0
,mcm,0,cnt,0,2016,0,0,0,0,0
,mcm,0,cnt,0,2017,0.1666666667,0,0,0,0.1666666667
,mcm,0,cnt,0,2018,0,0,0,,0
,mcm,0,cost,1,2013,0,0,,,0
,mcm,0,cost,1,2014,0,,,,0
,mcm,0,cost,1,2015,,0,,,0
,mcm,0,cost,1,2016,0,0,,,0
,mcm,0,cost,1,2017,0,0,,,0
,mcm,0,cost,1,2018,,0,,,0
,mcm,0,cost,0,2013,0,0,0,,0
,mcm,0,cost,0,2014,0,0,0,0,0
,mcm,0,cost,0,2015,0,0,0,,0
,mcm,0,cost,0,2016,0,0,0,0,0
,mcm,0,cost,0,2017,31.923333333,0,0,0,31.923333333
,mcm,0,cost,0,2018,0,0,0,,0
,mcm,1,cnt,1,2013,0,0,,,0
,mcm,1,cnt,1,2014,0,,,,0
,mcm,1,cnt,1,2015,,0,,,0
,mcm,1,cnt,1,2016,0,0,,,0
,mcm,1,cnt,1,2017,0,0,,,0
,mcm,1,cnt,1,2018,,0,,,0
,mcm,1,cnt,0,2013,0,0,0,,0
,mcm,1,cnt,0,2014,0,0,0,0,0
,mcm,1,cnt,0,2015,0,0,0,,0
,mcm,1,cnt,0,2016,0,0,0,0,0
,mcm,1,cnt,0,2017,0,0,0,0,0
,mcm,1,cnt,0,2018,0,0,0,,0
,mcm,1,cost,1,2013,0,0,,,0
,mcm,1,cost,1,2014,0,,,,0
,mcm,1,cost,1,2015,,0,,,0
,mcm,1,cost,1,2016,0,0,,,0
,mcm,1,cost,1,2017,0,0,,,0
,mcm,1,cost,1,2018,,0,,,0
,mcm,1,cost,0,2013,0,0,0,,0
,mcm,1,cost,0,2014,0,0,0,0,0
,mcm,1,cost,0,2015,0,0,0,,0
,mcm,1,cost,0,2016,0,0,0,0,0
,mcm,1,cost,0,2017,0,0,0,0,0
,mcm,1,cost,0,2018,0,0,0,,0
,mcn,0,cnt,1,2013,0,0,,,0
,mcn,0,cnt,1,2014,0,,,,0
,mcn,0,cnt,1,2015,,0,,,0
,mcn,0,cnt,1,2016,0,0,,,0
,mcn,0,cnt,1,2017,0,0,,,0
,mcn,0,cnt,1,2018,,0,,,0
,mcn,0,cnt,0,2013,0,0,0,,0
,mcn,0,cnt,0,2014,0,0,0,0,0
,mcn,0,cnt,0,2015,0,0,0,,0
,mcn,0,cnt,0,2016,0,0,0,0,0
,mcn,0,cnt,0,2017,1,0,0,0,1
,mcn,0,cnt,0,2018,0,0,0,,0
,mcn,1,cnt,1,2013,0,0,,,0
,mcn,1,cnt,1,2014,0,,,,0
,mcn,1,cnt,1,2015,,0,,,0
,mcn,1,cnt,1,2016,0,0,,,0
,mcn,1,cnt,1,2017,0,0,,,0
,mcn,1,cnt,1,2018,,0,,,0
,mcn,1,cnt,0,2013,0,0,0,,0
,mcn,1,cnt,0,2014,0,0,0,0,0
,mcn,1,cnt,0,2015,0,0,0,,0
,mcn,1,cnt,0,2016,0,0,0,0,0
,mcn,1,cnt,0,2017,0,0,0,0,0
,mcn,1,cnt,0,2018,0,0,0,,0
,med,0,cost,1,2013,521.9318161,2071.7566732,,,2593.6884893
,med,0,cost,1,2014,844.96287693,,,,844.96287693
,med,0,cost,1,2015,,21.291666667,,,21.291666667
,med,0,cost,1,2016,13.056666692,84.550555759,,,97.607222451
,med,0,cost,1,2017,171.32778083,249.98999023,,,421.31777106
,med,0,cost,1,2018,,409.3100179,,,409.3100179
,med,0,cost,0,2013,2245.492237,382.59933268,8.2766666412,,2636.3682363
,med,0,cost,0,2014,2550.247312,223.13583374,217.60500081,1881.8866364,2990.9881465
,med,0,cost,0,2015,683.64667923,358.09965668,17.857221921,,1059.6035578
,med,0,cost,0,2016,6842.4421416,199.47028012,28.818333944,13.313332876,7070.7307556
,med,0,cost,0,2017,2892.5786274,3704.5218633,288.66583379,1.5150000254,7174.4321583
,med,0,cost,0,2018,178.68185153,125.74083455,1096.2383016,,2496.8992893
,med,1,cost,1,2013,650.42324661,1629.0432943,,,2279.4665409
,med,1,cost,1,2014,686.96066204,,,,686.96066204
,med,1,cost,1,2015,,122.131663,,,122.131663
,med,1,cost,1,2016,38.17250061,243.9816708,,,282.15417141
,med,1,cost,1,2017,1484.2149658,138.11999512,,,1622.3349609
,med,1,cost,1,2018,,168.67666626,,,168.67666626
,med,1,cost,0,2013,1672.1982818,415.94634196,4559.9033203,,6648.047944
,med,1,cost,0,2014,1151.8593961,171.67500814,10.469999949,701.13121418,1334.0044042
,med,1,cost,0,2015,276.76520729,372.75467122,5.1483331786,,654.66821169
,med,1,cost,0,2016,1550.8723556,102.35333369,14.170833588,0,1667.3965229
,med,1,cost,0,2017,2404.490056,310.68527222,73.4716657,17.396666209,2862.1186597
,med,1,cost,0,2018,66.935647894,60.250834783,934.81416829,,1996.8148193
,oip,1,cnt,1,2013,0.0454545455,0.3333333333,,,0.3787878788
,oip,1,cnt,1,2014,0.1,,,,0.1
,oip,1,cnt,1,2015,,0,,,0
,oip,1,cnt,1,2016,0,0,,,0
,oip,1,cnt,1,2017,0.1111111111,0,,,0.1111111111
,oip,1,cnt,1,2018,,0,,,0
,oip,1,cnt,0,2013,0.0627062706,0,0.1666666667,,0.2293729373
,oip,1,cnt,0,2014,0.0306267806,0,0,0.0833333333,0.0306267806
,oip,1,cnt,0,2015,0.0416666667,0.0333333333,0,,0.075
,oip,1,cnt,0,2016,0.0476190476,0,0,0,0.0476190476
,oip,1,cnt,0,2017,0.0402298851,0.0277777778,0,0,0.0680076628
,oip,1,cnt,0,2018,0.0555555556,0,0.1666666667,,0.3888888889
,oip,1,cost,1,2013,191.82378566,1392.7983398,,,1584.6221255
,oip,1,cost,1,2014,415.17421604,,,,415.17421604
,oip,1,cost,1,2015,,0,,,0
,oip,1,cost,1,2016,15.156667074,0,,,15.156667074
,oip,1,cost,1,2017,1046.0049913,0,,,1046.0049913
,oip,1,cost,1,2018,,0,,,0
,oip,1,cost,0,2013,851.18662868,0,4497.2301432,,5348.4167719
,oip,1,cost,0,2014,283.85886509,0,0,483.00708008,283.85886509
,oip,1,cost,0,2015,4.5324999491,232.7889974,0,,237.32149734
,oip,1,cost,0,2016,250.06631604,0,0,0,250.06631604
,oip,1,cost,0,2017,1811.2310991,110.52138943,0,0,1921.7524885
,oip,1,cost,0,2018,8.0358331822,0,369.34750366,,746.73084051
,out,1,cnt,1,2013,3.0075757576,2.6666666667,,,5.6742424242
,out,1,cnt,1,2014,1.8111111111,,,,1.8111111111
,out,1,cnt,1,2015,,0.6666666667,,,0.6666666667
