SDA,type,post,meas,treat,sfy,rgrp4,rgrp3,rgrp6,tot_tvst
Bexar SDA,ed,1,cnt,1,2014,0.2401960784,0.081232493,0.2307692308,0.6758056758
Bexar SDA,ed,1,cnt,1,2015,0.1613785558,0.0743021346,0.1397849462,0.873246828
Bexar SDA,ed,1,cnt,1,2016,0.1871704745,0.0974637681,0.1212121212,0.6417770998
Bexar SDA,ed,1,cnt,1,2017,0.1551241693,0.0848056537,0.0598290598,1.0444364275
Bexar SDA,ed,1,cnt,1,2018,0.1454229432,0.0757575758,0.0854885057,0.8533955262
Bexar SDA,ed,1,cnt,0,2013,0.1366019634,0.0771686482,,0.5377410521
Bexar SDA,ed,1,cnt,0,2014,0.1060953254,0.0595051573,0.1066666667,0.4747510405
Bexar SDA,ed,1,cnt,0,2015,0.1266839637,0.0855275656,0.1383141762,0.5683318125
Bexar SDA,ed,1,cnt,0,2016,0.1187123064,0.0692685627,0.1047619048,0.5291236276
Bexar SDA,ed,1,cnt,0,2017,0.1406301824,0.118524523,0.1187143598,0.6801116388
Bexar SDA,ed,1,cnt,0,2018,0.1401303964,0.1239245793,0.1184909671,0.6676329919
Bexar SDA,ed,1,cost,1,2013,164.93477867,53.233162834,,581.36997918
Bexar SDA,ed,1,cost,1,2014,115.03975157,58.759411002,135.45179749,298.4544073
Bexar SDA,ed,1,cost,1,2015,75.686916448,30.691278685,39.006021623,304.05255801
Bexar SDA,ed,1,cost,1,2016,87.595246123,47.939322313,16.843788147,271.26599692
Bexar SDA,ed,1,cost,1,2017,77.217020136,38.222121654,4.174943038,302.35010724
Bexar SDA,ed,1,cost,1,2018,85.762261774,31.521038759,27.367306213,406.40855342
Bexar SDA,ed,1,cost,0,2013,66.605044698,35.239774377,,250.93086203
Bexar SDA,ed,1,cost,0,2014,57.807210617,25.020610375,5.6590666453,219.43659549
Bexar SDA,ed,1,cost,0,2015,64.291799378,37.454087696,88.271395002,271.21862183
Bexar SDA,ed,1,cost,0,2016,59.692736575,30.824985356,52.094547049,230.27557963
Bexar SDA,ed,1,cost,0,2017,67.85367786,38.706595858,58.726845348,277.23090291
Bexar SDA,ed,1,cost,0,2018,106.24827043,49.494354732,72.029486545,372.65491052
Bexar SDA,inp,1,cnt,1,2013,0.1749539595,0.0827250608,,0.424345687
Bexar SDA,inp,1,cnt,1,2014,0.0991704374,0.0847338936,0.0256410256,0.3051164522
Bexar SDA,inp,1,cnt,1,2015,0.0609044493,0.0303776683,0.0698924731,0.3521286785
Bexar SDA,inp,1,cnt,1,2016,0.075278266,0.0365942029,0.0606060606,0.2269518339
Bexar SDA,inp,1,cnt,1,2017,0.0778244141,0.0574204947,0.037037037,0.3186947923
Bexar SDA,inp,1,cnt,1,2018,0.0610274237,0.037004662,0.0380747126,0.3504671507
Bexar SDA,inp,1,cnt,0,2013,0.0428380187,0.0303830911,,0.2815611331
Bexar SDA,inp,1,cnt,0,2014,0.0278032386,0.0110001306,0.08,0.1613421027
Bexar SDA,inp,1,cnt,0,2015,0.0350597079,0.0111136441,0.0245210728,0.1949939325
Bexar SDA,inp,1,cnt,0,2016,0.031393643,0.0075427306,0.0488095238,0.1930094963
Bexar SDA,inp,1,cnt,0,2017,0.0341323685,0.0087581992,0.0487299119,0.20024375
Bexar SDA,inp,1,cnt,0,2018,0.0288212534,0.0070805074,0.0518065887,0.1717851388
Bexar SDA,inp,1,cost,1,2013,850.01387229,510.01500302,,2411.1507286
Bexar SDA,inp,1,cost,1,2014,355.94160381,637.25853227,0.7457692073,1484.1923217
Bexar SDA,inp,1,cost,1,2015,264.07178923,193.0278082,51.299408246,794.32231804
Bexar SDA,inp,1,cost,1,2016,346.59467515,209.21876366,40.806363655,1243.2192385
Bexar SDA,inp,1,cost,1,2017,572.59883276,368.25289903,13.24813412,1212.819927
Bexar SDA,inp,1,cost,1,2018,381.1534174,306.31431513,65.486967799,2207.4220666
Bexar SDA,inp,1,cost,0,2013,211.37233359,187.10086425,,1161.4652099
Bexar SDA,inp,1,cost,0,2014,214.41397073,96.872327072,37.119533437,945.93512082
Bexar SDA,inp,1,cost,0,2015,246.42075824,101.46623286,63.852471455,893.65921127
Bexar SDA,inp,1,cost,0,2016,255.79000986,55.638379756,101.06053707,881.01844529
Bexar SDA,inp,1,cost,0,2017,330.40880387,112.89447343,194.44555985,1003.9830112
Bexar SDA,inp,1,cost,0,2018,317.28045619,83.235870659,150.17179116,998.44708721
Bexar SDA,med,0,cost,1,2013,1080.8647071,885.83623597,,4841.5183738
Bexar SDA,med,0,cost,1,2014,826.03394956,704.72865034,1830.576262,2757.0544149
Bexar SDA,med,0,cost,1,2015,685.66024455,517.01255986,1094.0897525,3228.091464
Bexar SDA,med,0,cost,1,2016,867.7926286,573.22320117,1505.3671182,2945.4871025
Bexar SDA,med,0,cost,1,2017,870.71647192,700.53102646,1125.0604165,4001.2785077
Bexar SDA,med,0,cost,1,2018,885.11905892,636.59901826,1074.7070109,3713.6906306
Bexar SDA,med,0,cost,0,2013,783.4441582,382.3542398,,3052.1038213
Bexar SDA,med,0,cost,0,2014,1165.0484511,297.8490345,1881.1769868,2866.6126811
Bexar SDA,med,0,cost,0,2015,1095.6407882,354.91658306,820.01022679,2871.2296913
Bexar SDA,med,0,cost,0,2016,1134.6559073,252.62532927,813.78579821,2739.1449191
Bexar SDA,med,0,cost,0,2017,1389.9988555,319.43082545,986.66553778,3214.6309347
Bexar SDA,med,0,cost,0,2018,1823.1076683,327.08817672,1109.8980409,3858.8392972
Bexar SDA,med,1,cost,1,2013,1394.9752807,941.7315956,,4275.7841214
Bexar SDA,med,1,cost,1,2014,882.87430367,1048.0857561,1264.9435863,3442.2459526
Bexar SDA,med,1,cost,1,2015,742.39347533,577.20105487,1444.8865288,2995.3425148
Bexar SDA,med,1,cost,1,2016,909.1509525,591.87601991,1673.4466867,3088.0844761
Bexar SDA,med,1,cost,1,2017,1166.2844308,714.39199417,1536.1424165,3709.1350023
Bexar SDA,med,1,cost,1,2018,999.25896917,630.47710821,1321.3863674,4709.5446346
Bexar SDA,med,1,cost,0,2013,727.17046648,470.59147121,,3381.3220813
Bexar SDA,med,1,cost,0,2014,862.44221178,311.94205625,1117.8377396,2530.8714743
Bexar SDA,med,1,cost,0,2015,1055.0082024,367.75510091,750.84484674,2974.7217171
Bexar SDA,med,1,cost,0,2016,1078.3329783,275.48457348,764.06825379,2919.4410376
Bexar SDA,med,1,cost,0,2017,1353.2361503,350.52147232,1066.8572105,3372.124776
Bexar SDA,med,1,cost,0,2018,1795.9908025,358.31582569,1137.5021034,4102.1288756
Bexar SDA,out,1,cnt,1,2013,2.8591160221,3.5170316302,,10.616888393
Bexar SDA,out,1,cnt,1,2014,2.7993966817,2.806022409,5.0512820513,10.907607643
Bexar SDA,out,1,cnt,1,2015,3.0238876732,2.7857142857,6.0698924731,13.915422065
Bexar SDA,out,1,cnt,1,2016,3.5079086116,3.2373188406,8.0,12.959513166
Bexar SDA,out,1,cnt,1,2017,3.9868835257,2.5752355713,11.378917379,17.170044505
Bexar SDA,out,1,cnt,1,2018,4.16396292,2.682983683,11.295258621,18.129414135
Bexar SDA,out,1,cnt,0,2013,2.7771642124,2.2053060326,,13.274658236
Bexar SDA,out,1,cnt,0,2014,2.6229249414,1.3678025852,5.1133333333,8.8026959048
Bexar SDA,out,1,cnt,0,2015,3.1650367561,1.4658421673,2.8333333333,10.612152654
Bexar SDA,out,1,cnt,0,2016,3.3977506112,1.276520656,3.225,10.580549963
